left_id,right_id,is_match,notes
149,149,1,special_char: Brønsted Acid = Bronsted Acid
150,150,1,abbrev: 123 Main Street = 123 Main St
151,151,1,abbrev: 456 Oak Avenue = 456 Oak Ave
152,152,1,abbrev: 789 Pine Road = 789 Pine Rd
153,153,1,abbrev: 2500 Park Lane = 2500 Park Ln
154,154,1,abbrev: 221B Baker Street = 221B Baker St
155,155,1,abbrev: 1600 Pennsylvania Avenue = 1600 Pennsylvania Ave
156,156,1,abbrev: 10 Downing Street = 10 Downing St
157,157,1,abbrev: 350 Fifth Avenue = 350 Fifth Ave
158,158,1,ordinal: First National Bank = 1st National Bank
159,159,1,ordinal: Second Baptist Church = 2nd Baptist Church
160,160,1,ordinal: Third Avenue = 3rd Avenue
161,161,1,ordinal: Fourth Street = 4th Street
162,162,1,ordinal: Fifth Element = 5th Element
163,163,1,ordinal: Sixth Sense = 6th Sense
164,164,1,ordinal: Seventh Heaven = 7th Heaven
165,165,1,ordinal: Eighth Wonder = 8th Wonder
166,166,1,ordinal: Ninth Symphony = 9th Symphony
167,167,1,ordinal: Tenth Amendment = 10th Amendment
168,168,1,roman: King George III = King George 3
169,169,1,roman: Pope John Paul II = Pope John Paul 2
170,170,1,roman: Queen Elizabeth II = Queen Elizabeth 2
171,171,1,roman: Louis XIV = Louis 14
172,172,1,roman: Henry VIII = Henry 8
173,173,1,roman: Charles V = Charles 5
174,174,1,roman: Napoleon III = Napoleon 3
175,175,1,roman: Alexander III = Alexander 3
176,176,1,roman: Nicholas II = Nicholas 2
177,177,1,roman: Frederick II = Frederick 2
178,178,1,ordinal: 1st Infantry Division = First Infantry Division
179,179,1,ordinal: 2nd Amendment = Second Amendment
180,180,1,ordinal: 3rd Rock from the Sun = Third Rock from the Sun
181,181,1,ordinal: 4th of July = Fourth of July
182,182,1,ordinal: 5th Avenue = Fifth Avenue
183,183,1,ordinal: 6th Street = Sixth Street
184,184,1,ordinal: 7th Heaven = Seventh Heaven
185,185,1,ordinal: 8th Wonder = Eighth Wonder
186,186,1,ordinal: 9th Circuit = Ninth Circuit
187,187,1,ordinal: 10th Mountain Division = Tenth Mountain Division
188,188,0,abbrev: World War I != WW1
189,189,0,abbrev: World War II != WW2
190,190,1,roman: Super Bowl LIV = Super Bowl 54
191,191,0,number_word: Apollo 11 = Apollo Eleven
192,192,0,number_word: iPhone 12 = iPhone Twelve
193,193,0,number_word: Windows 10 = Windows Ten
194,194,0,abbrev: PlayStation 5 != PS5
195,195,1,hyphen: COVID-19 = COVID 19
196,196,0,abbrev: The New York Times != NY Times
197,197,0,article: The Washington Post != Washington Post
198,198,0,article: The Wall Street Journal != Wall Street Journal
199,199,0,article: The Guardian != Guardian
200,200,0,article: The Times of London != Times of London
201,201,1,accent: El País = El Pais
202,202,1,punctuation: J.K. Rowling = JK Rowling
203,203,1,punctuation: J.R.R. Tolkien = JRR Tolkien
204,204,1,punctuation: C.S. Lewis = CS Lewis
205,205,1,punctuation: E.E. Cummings = EE Cummings
206,206,1,punctuation: T.S. Eliot = TS Eliot
207,207,1,punctuation: F. Scott Fitzgerald = F Scott Fitzgerald
208,208,1,punctuation: H.G. Wells = HG Wells
209,209,1,punctuation: A.A. Milne = AA Milne
210,210,1,punctuation: P.G. Wodehouse = PG Wodehouse
211,211,1,punctuation: G.K. Chesterton = GK Chesterton
212,212,0,abbrev: IEEE Computer Society != IEEE
213,213,0,abbrev: ACM SIGMOD != ACM
214,214,0,abbrev: NATO Alliance != NATO
215,215,0,abbrev: UNESCO Heritage != UNESCO
216,216,0,abbrev: PhD Student != PhD
217,217,0,reorder: CEO of Apple != Apple CEO
218,218,0,reorder: CTO Microsoft != Microsoft CTO
219,219,0,reorder: CFO Amazon != Amazon CFO
220,220,0,reorder: COO Google != Google COO
221,221,1,preposition: VP Engineering = VP of Engineering
222,222,1,preposition: SVP Product = SVP of Product
223,223,1,preposition: EVP Sales = EVP of Sales
224,224,1,reorder: MD Goldman Sachs = Goldman Sachs MD
225,225,1,reorder: Partner McKinsey = McKinsey Partner
226,226,1,abbrev: Los Angeles Lakers = LA Lakers
227,227,1,abbrev: New York Yankees = NY Yankees
228,228,0,abbrev: Manchester United != Man United
229,229,1,suffix: Real Madrid = Real Madrid CF
230,230,1,prefix: FC Barcelona = Barcelona FC
231,231,1,umlaut: Bayern München = Bayern Munich
232,232,0,abbrev: Paris Saint-Germain != PSG
233,233,0,suffix: Juventus FC != Juventus
234,234,0,abbrev: Inter Milan != Inter
235,235,1,translation: Côte d'Ivoire = Ivory Coast
236,236,1,translation: Timor-Leste = East Timor
237,237,0,abbrev: Papua New Guinea != PNG
238,238,1,conjunction: Trinidad and Tobago = Trinidad Tobago
239,239,1,conjunction: Bosnia and Herzegovina = Bosnia Herzegovina
240,240,0,alternate: Czech Republic != Czechia
241,241,0,abbrev: Dominican Republic != Dominican Rep
242,242,1,punctuation: John Smith Jr. = John Smith Jr
243,243,1,punctuation: William Brown Sr. = William Brown Sr
244,244,1,roman: James Davis III = James Davis 3
245,245,1,roman: Robert Wilson IV = Robert Wilson 4
246,246,1,roman: Michael Johnson V = Michael Johnson 5
247,247,1,roman: David Anderson II = David Anderson 2
248,248,1,punctuation: Thomas Taylor Jr. = Thomas Taylor Jr
249,249,1,punctuation: Charles Harris Sr. = Charles Harris Sr
250,250,1,roman: Joseph Martin III = Joseph Martin 3
251,251,1,roman: Christopher Lee IV = Christopher Lee 4
252,252,1,hyphen_abbrev: Saint-Tropez = St Tropez
253,253,1,hyphen: Aix-en-Provence = Aix en Provence
254,254,1,hyphen: Boulogne-sur-Mer = Boulogne sur Mer
255,255,1,hyphen: Chamonix-Mont-Blanc = Chamonix Mont Blanc
256,256,1,hyphen_apostrophe: Villeneuve-d'Ascq = Villeneuve dAscq
257,257,1,hyphen: Issy-les-Moulineaux = Issy les Moulineaux
258,258,1,hyphen: Neuilly-sur-Seine = Neuilly sur Seine
259,259,1,hyphen: Levallois-Perret = Levallois Perret
260,260,1,hyphen_abbrev: Saint-Denis = St Denis
261,261,1,hyphen_abbrev: Saint-Germain-en-Laye = St Germain en Laye
262,262,0,abbrev: Wells Fargo & Company != Wells Fargo
263,263,0,abbrev: Ernst & Young != EY
264,264,0,abbrev: PricewaterhouseCoopers != PwC
265,265,0,abbrev: Deloitte & Touche != Deloitte
266,266,0,abbrev: KPMG International != KPMG
267,267,1,spacing: JPMorgan Chase = JP Morgan Chase
268,268,0,abbrev: Citigroup Inc. != Citi
269,269,1,apostrophe: Alzheimer's Disease = Alzheimers
270,270,1,apostrophe: Parkinson's Disease = Parkinsons
271,271,1,apostrophe: Huntington's Disease = Huntingtons
272,272,1,apostrophe: Crohn's Disease = Crohns
273,273,1,apostrophe: Hodgkin's Lymphoma = Hodgkins
274,274,1,apostrophe: Lou Gehrig's Disease = Lou Gehrigs
275,275,1,apostrophe: Bell's Palsy = Bells Palsy
276,276,1,apostrophe: Graves' Disease = Graves
277,277,1,apostrophe: Addison's Disease = Addisons
278,278,1,apostrophe: Cushing's Syndrome = Cushings
279,279,0,abbrev: 3M Company != 3M
280,280,1,hyphen: 7-Eleven = 7 Eleven
281,281,1,accent_conjunction: São Tomé and Príncipe = Sao Tome Principe
282,282,1,conjunction: Antigua and Barbuda = Antigua Barbuda
283,283,1,abbrev_conjunction: Saint Kitts and Nevis = St Kitts Nevis
284,284,1,abbrev_conjunction: Saint Vincent and the Grenadines = St Vincent Grenadines
285,285,1,conjunction: Turks and Caicos Islands = Turks Caicos
286,286,0,abbrev: British Virgin Islands != British VI
287,287,1,punctuation: U.S. Virgin Islands = US Virgin Islands
288,288,0,abbrev: Northern Mariana Islands != N Mariana Islands
289,289,1,case: Jean de La Fontaine = Jean de la Fontaine
290,290,1,accent: Honoré de Balzac = Honore de Balzac
291,291,1,accent: Hernán Cortés = Hernan Cortes
292,292,1,umlaut: Hägar the Horrible = Hagar the Horrible
293,293,1,umlaut: Motörhead = Motorhead
294,294,1,umlaut: Blue Öyster Cult = Blue Oyster Cult
295,295,1,umlaut: Queensrÿche = Queensryche
296,296,1,umlaut: Mötley Crüe = Motley Crue
297,297,1,umlaut: Hüsker Dü = Husker Du
298,298,1,apostrophe: Guns N' Roses = Guns N Roses
299,299,0,reorder: Ph.D. in Computer Science != Computer Science PhD
300,300,0,reorder: M.B.A. from Harvard != Harvard MBA
301,301,0,reorder: J.D. Yale Law School != Yale JD
302,302,0,reorder: M.D. Johns Hopkins != Johns Hopkins MD
303,303,0,reorder: B.S. in Engineering != Engineering BS
304,304,0,reorder: M.S. Stanford != Stanford MS
305,305,0,reorder: B.A. in Economics != Economics BA
306,306,0,reorder: LL.M. Cambridge != Cambridge LLM
307,307,0,reorder: D.Phil Oxford != Oxford DPhil
308,308,0,reorder: Sc.D. MIT != MIT ScD
309,309,1,hyphen: North-South Highway = North South Highway
310,310,1,hyphen: East-West Expressway = East West Expressway
311,311,1,hyphen: Trans-Siberian Railway = Trans Siberian Railway
312,312,1,hyphen: Trans-Atlantic Cable = Transatlantic Cable
313,313,1,hyphen: Cross-Pacific Partnership = Cross Pacific Partnership
314,314,1,hyphen: Inter-American Development = Inter American Development
315,315,1,hyphen: Intra-European Trade = Intra European Trade
316,316,1,hyphen: Pre-Columbian Art = Pre Columbian Art
317,317,1,hyphen: Post-Modern Architecture = Post Modern Architecture
318,318,1,hyphen: Neo-Classical Economics = Neo Classical Economics
319,319,1,hyphen: self-driving car = self driving car
320,320,1,hyphen: machine-learning algorithm = machine learning algorithm
321,321,1,hyphen: deep-learning model = deep learning model
322,322,1,hyphen: natural-language processing = natural language processing
323,323,1,hyphen: computer-vision system = computer vision system
324,324,1,hyphen: speech-recognition software = speech recognition software
325,325,1,hyphen: text-to-speech engine = text to speech engine
326,326,1,hyphen: image-classification network = image classification network
327,327,1,hyphen: object-detection algorithm = object detection algorithm
328,328,1,hyphen: face-recognition technology = face recognition technology
329,329,1,hyphen: re-election campaign = reelection campaign
330,330,1,hyphen: pre-approval process = preapproval process
331,331,1,hyphen: post-graduation plans = postgraduation plans
332,332,1,hyphen: anti-inflammatory drug = antiinflammatory drug
333,333,1,hyphen: pro-democracy movement = prodemocracy movement
334,334,1,hyphen: non-profit organization = nonprofit organization
335,335,1,hyphen: semi-automatic weapon = semiautomatic weapon
336,336,1,hyphen: multi-national corporation = multinational corporation
337,337,1,hyphen: bi-partisan support = bipartisan support
338,338,1,hyphen: tri-state area = tristate area
339,339,0,symbol: .NET Framework != dotNET Framework
340,340,0,symbol: C++ Programming != C Plus Plus Programming
341,341,0,symbol: C# Language != C Sharp Language
342,342,0,symbol: F# Functional != F Sharp Functional
343,343,1,punctuation: Node.js Runtime = NodeJS Runtime
344,344,1,punctuation: Vue.js Framework = VueJS Framework
345,345,1,punctuation: React.js Library = ReactJS Library
346,346,1,punctuation: Angular.js Platform = AngularJS Platform
347,347,1,punctuation: Express.js Server = ExpressJS Server
348,348,1,punctuation: Next.js Application = NextJS Application
349,349,0,number_word: twenty-one != 21
350,350,0,number_word: thirty-two != 32
351,351,0,number_word: forty-three != 43
352,352,0,number_word: fifty-four != 54
353,353,0,number_word: sixty-five != 65
354,354,0,number_word: seventy-six != 76
355,355,0,number_word: eighty-seven != 87
356,356,0,number_word: ninety-eight != 98
357,357,0,number_word: one hundred != 100
358,358,0,number_word: two hundred fifty != 250
359,359,1,accent: Père Lachaise Cemetery = Pere Lachaise
360,360,1,hyphen_accent: Notre-Dame de Paris = Notre Dame de Paris
361,361,1,accent: Sacré-Cœur Basilica = Sacre Coeur
362,362,1,accent_hyphen: Champs-Élysées = Champs Elysees
363,363,1,accent_apostrophe: Musée d'Orsay = Musee dOrsay
364,364,1,umlaut: über alles = uber alles
365,365,1,umlaut: doppelgänger = doppelganger
366,366,1,eszett: Fußball = Fussball
367,367,1,eszett: Große Straße = Grosse Strasse
368,368,1,hyphen: Rhein-Main-Gebiet = Rhein Main Gebiet
369,369,0,abbrev: Bayerische Motoren Werke != BMW
370,370,0,abbrev: Volkswagen AG != VW
371,371,1,hyphen: Daimler-Benz = Daimler Benz
372,372,1,spacing: ThyssenKrupp = Thyssen Krupp
373,373,0,abbrev: Siemens AG != Siemens
374,374,1,special_char: İstanbul = Istanbul
375,375,1,special_char: İzmir = Izmir
376,376,1,special_char: Diyarbakır = Diyarbakir
377,377,1,special_char: Łódź = Lodz
378,378,1,accent: Kraków = Krakow
379,379,1,accent: Wrocław = Wroclaw
380,380,1,accent: Poznań = Poznan
381,381,1,accent: Gdańsk = Gdansk
382,382,1,accent: Białystok = Bialystok
383,383,1,accent: České Budějovice = Ceske Budejovice
384,384,1,accent: Plzeň = Plzen
385,385,1,accent: Ústí nad Labem = Usti nad Labem
386,386,1,accent: Hradec Králové = Hradec Kralove
387,387,1,accent: Reykjavík = Reykjavik
388,388,1,accent: Keflavík = Keflavik
389,389,1,accent: Egilsstaðir = Egilsstadir
390,390,1,accent: Ísafjörður = Isafjordur
391,391,1,accent: Húsavík = Husavik
392,392,1,accent: Höfn = Hofn
393,393,1,accent: Siglufjörður = Siglufjordur
394,394,0,abbrev: John F. Kennedy != JFK
395,395,0,abbrev: Martin Luther King != MLK
396,396,0,abbrev: Franklin D. Roosevelt != FDR
397,397,0,nickname: Theodore Roosevelt != Teddy Roosevelt
398,398,0,nickname: Abraham Lincoln != Abe Lincoln
399,399,0,full_name: García Márquez != Gabriel Garcia Marquez
400,400,0,full_name: Vargas Llosa != Mario Vargas Llosa
401,401,0,full_name: Borges != Jorge Luis Borges
402,402,0,full_name: Neruda != Pablo Neruda
403,403,1,accent: Julio Cortázar = Julio Cortazar
404,404,1,hyphen: Kim Jong-un = Kim Jong Un
405,405,1,hyphen: Park Geun-hye = Park Geun Hye
406,406,1,hyphen: Moon Jae-in = Moon Jae In
407,407,1,hyphen: Lee Myung-bak = Lee Myung Bak
408,408,1,hyphen: Roh Moo-hyun = Roh Moo Hyun
409,409,1,hyphen: Kim Dae-jung = Kim Dae Jung
410,410,1,hyphen: Kim Young-sam = Kim Young Sam
411,411,1,hyphen: Roh Tae-woo = Roh Tae Woo
412,412,1,hyphen: Chun Doo-hwan = Chun Doo Hwan
413,413,1,hyphen: Park Chung-hee = Park Chung Hee
414,414,1,accent: Shinzō Abe = Shinzo Abe
415,415,1,accent: Tarō Asō = Taro Aso
416,416,0,abbrev: Shinzō Abe != S. Abe
417,417,0,abbrev: O'Hare International Airport != OHare Airport
418,418,0,abbrev: JFK International Airport != JFK Airport
419,419,0,abbrev: LAX International Airport != LAX Airport
420,420,0,reorder: ORD Chicago Airport != Chicago ORD
421,421,0,reorder: ATL Atlanta Airport != Atlanta ATL
422,422,0,reorder: DFW Dallas Airport != Dallas DFW
423,423,0,reorder: DEN Denver Airport != Denver DEN
424,424,0,reorder: SFO San Francisco Airport != San Francisco SFO
425,425,0,reorder: SEA Seattle Airport != Seattle SEA
426,426,0,reorder: LAS Las Vegas Airport != Las Vegas LAS
427,427,1,spacing: Airbus A380 = Airbus A 380
428,428,0,abbrev: Raytheon Technologies != Raytheon
429,429,1,punctuation: Leonardo S.p.A. = Leonardo SpA
430,430,0,abbrev: Thales Group != Thales
431,431,1,hyphen: Rolls-Royce Holdings = Rolls Royce
432,432,1,apostrophe: Alzheimer's Association = Alzheimers Association
433,433,1,hyphen: Make-A-Wish Foundation = Make A Wish
434,434,0,abbrev: World Wildlife Fund != WWF
435,435,1,"punctuation: Ph.D., M.D. = PhD MD"
436,436,1,"punctuation: J.D., M.B.A. = JD MBA"
437,437,1,"punctuation: M.S., B.S. = MS BS"
438,438,1,"punctuation: B.A., M.A. = BA MA"
439,439,1,"punctuation: D.D.S., D.M.D. = DDS DMD"
440,440,1,punctuation: Pharm.D. = PharmD
441,441,1,punctuation: Ed.D. = EdD
442,442,1,punctuation: Psy.D. = PsyD
443,443,1,punctuation: D.V.M. = DVM
444,444,1,punctuation: D.O. = DO
445,445,1,hyphen: Jean-Baptiste Poquelin = Jean Baptiste Poquelin
446,446,0,stage_name: Marie-Joseph Paul Yves Roch Gilbert du Motier != Marquis de Lafayette
447,447,1,hyphen: Jacques-Louis David = Jacques Louis David
448,448,1,hyphen: Jean-Antoine Watteau = Jean Antoine Watteau
449,449,0,stage_name: François-Marie Arouet != Voltaire
450,450,0,stage_name: Charles-Louis de Secondat != Montesquieu
451,451,1,hyphen: Jean-Jacques Rousseau = Jean Jacques Rousseau
452,452,0,stage_name: Leonardo Wilhelm DiCaprio != Leonardo DiCaprio
453,453,0,stage_name: Joaquin Rafael Bottom != Joaquin Phoenix
454,454,0,stage_name: Natalie Hershlag != Natalie Portman
455,455,0,stage_name: Stefani Joanne Angelina Germanotta != Lady Gaga
456,456,0,stage_name: Peter Gene Hernandez != Bruno Mars
457,457,0,stage_name: Abel Makkonen Tesfaye != The Weeknd
458,458,0,stage_name: Robyn Rihanna Fenty != Rihanna
459,459,0,stage_name: Onika Tanya Maraj != Nicki Minaj
460,460,0,stage_name: Aubrey Drake Graham != Drake
461,461,0,stage_name: Marshall Bruce Mathers III != Eminem
462,462,1,hyphen: Co-founder and CEO = Cofounder CEO
463,463,0,prefix: Ex-President != Former President
464,464,1,hyphen: Vice-Chairman = Vice Chairman
465,465,1,hyphen: Non-Executive Director = Non Executive Director
466,466,0,abbrev: Senior Vice President != Senior VP
467,467,0,abbrev: Executive Vice President != Executive VP
468,468,0,abbrev: Chief Operating Officer != COO
469,469,0,abbrev: Chief Financial Officer != CFO
470,470,0,abbrev: Chief Technology Officer != CTO
471,471,1,hyphen: pre-K education = pre K education
472,472,1,hyphen: K-12 schools = K 12 schools
473,473,1,hyphen: P-12 education = P 12 education
474,474,1,hyphen: 9-12 high school = 9 12 high school
475,475,1,hyphen: K-8 elementary = K 8 elementary
476,476,1,hyphen: 6-12 secondary = 6 12 secondary
477,477,1,hyphen: pre-school program = preschool program
478,478,1,hyphen: after-school care = afterschool care
479,479,1,hyphen: year-round school = year round school
480,480,1,hyphen: summer-school session = summer school session
481,481,1,hyphen: Wi-Fi network = WiFi network
482,482,1,hyphen: Blu-ray disc = Blu ray disc
483,483,1,hyphen: HD-DVD format = HD DVD format
484,484,1,hyphen: 3D-printing technology = 3D printing technology
485,485,1,hyphen: 4K-resolution display = 4K resolution display
486,486,1,hyphen: 5G-network coverage = 5G network coverage
487,487,1,hyphen: 6G-research = 6G research
488,488,1,hyphen: 8K-television = 8K television
489,489,1,hyphen: 10-bit color = 10 bit color
490,490,1,hyphen: 12-megapixel camera = 12 megapixel camera
491,491,1,hyphen: e-commerce platform = ecommerce platform
492,492,1,hyphen: e-learning system = elearning system
493,493,1,hyphen: e-government services = egovernment services
494,494,1,hyphen: e-health records = ehealth records
495,495,1,hyphen: e-banking application = ebanking application
496,496,1,hyphen: e-signature software = esignature software
497,497,1,hyphen: e-mail communication = email communication
498,498,1,hyphen: e-reader device = ereader device
499,499,1,hyphen: e-sports tournament = esports tournament
500,500,1,hyphen: e-waste recycling = ewaste recycling
501,501,1,hyphen: mid-Atlantic region = mid Atlantic region
502,502,1,hyphen: mid-west states = midwest states
503,503,1,hyphen: mid-term elections = midterm elections
504,504,1,hyphen: mid-range budget = midrange budget
505,505,1,hyphen: mid-size company = midsize company
506,506,1,hyphen: mid-level manager = midlevel manager
507,507,1,hyphen: mid-career professional = midcareer professional
508,508,1,hyphen: mid-century modern = midcentury modern
509,509,1,hyphen: mid-point review = midpoint review
510,510,1,hyphen: mid-year assessment = midyear assessment
511,511,1,hyphen: end-of-year report = end of year report
512,512,1,hyphen: state-of-the-art technology = state of the art technology
513,513,1,hyphen: out-of-pocket expenses = out of pocket expenses
514,514,1,hyphen: point-of-sale system = point of sale system
515,515,1,hyphen: cost-of-living adjustment = cost of living adjustment
516,516,1,hyphen: right-of-way access = right of way access
517,517,1,hyphen: conflict-of-interest policy = conflict of interest policy
518,518,1,hyphen: balance-of-payments = balance of payments
519,519,1,hyphen: standard-of-care guidelines = standard of care guidelines
520,520,1,hyphen: quality-of-life measures = quality of life measures
521,521,1,hyphen: mother-in-law = mother in law
522,522,1,hyphen: father-in-law = father in law
523,523,1,hyphen: sister-in-law = sister in law
524,524,1,hyphen: brother-in-law = brother in law
